State,City,Existing_Stores,Estimated_Population,Per_Capita_Income,Malls,buyers_count,State_Encoded,City_Encoded,Norm_Population,Norm_Buyers,Norm_Stores,Priority_Index
Tamil Nadu,Gobichettipalayam,1,59449,403847,1,29724.5,25,97,0.003330831,0.003330831,0,0.502664665
Tamil Nadu,Gummdipoondi,1,59449,403847,1,29724.5,25,102,0.003330831,0.003330831,0,0.502664665
Tamil Nadu,Madurai,3,1017865,403847,1,508932.5,25,174,0.060432433,0.060432433,0.03125,0.542095946
Tamil Nadu,Salem,1,1017865,403847,1,508932.5,25,246,0.060432433,0.060432433,0,0.548345946
Tamil Nadu,Thiruvallur,1,1017865,403847,1,508932.5,25,275,0.060432433,0.060432433,0,0.548345946
Tamil Nadu,Tiruchirappalli,2,847387,403847,1,423693.5,25,279,0.0502755,0.0502755,0.015625,0.5370954
Tamil Nadu,Tiruppur,3,444543,403847,1,222271.5,25,281,0.026274401,0.026274401,0.03125,0.514769521
Tamil Nadu,Vellore,1,185895,403847,1,92947.5,25,293,0.010864375,0.010864375,0,0.5086915
Telangana,Hyderabad,65,3943323,427730,1,1971661.5,26,122,0.234728705,0.234728705,1,0.487782964
Telangana,Karimnagar,2,1005711,427730,1,502855.5,26,148,0.059708308,0.059708308,0.015625,0.544641646
Telangana,Khammam,1,2797370,427730,1,1398685,26,150,0.16645381,0.16645381,0,0.633163048
Telangana,Kodad,1,75093,427730,1,37546.5,26,156,0.004262887,0.004262887,0,0.50341031
